e_type	j_type	e_tag	j_tag
Theme	主題	Affair	不倫
Theme	主題	Asian	アジア
Theme	主題	Bath	お風呂
Theme	主題	Beauty Shop	エステ
Theme	主題	Bizarre	猟奇
Theme	主題	Busty Fetish	巨乳フェチ
Theme	主題	Conceived	孕ませ
Theme	主題	Couple	カップル
Theme	主題	Cruel Expression	残虐表現
Theme	主題	Cuckold	寝取り、寝取られ
Theme	主題	Dance	ダンス
Theme	主題	Dark System	ダーク系
Theme	主題	Dead Drunk	泥酔
Theme	主題	Delusion	妄想
Theme	主題	Eros	エロス
Theme	主題	Evil	鬼畜系
Theme	主題	Fan Appreciation	ファン感謝・訪問
Theme	主題	Fetish	フェチ
Theme	主題	France	フランス
Theme	主題	Friendship	友情
Theme	主題	Futanari	ふたなり
Theme	主題	Gay	ゲイ
Theme	主題	Image Club	イメクラ
Theme	主題	Incest	近親相姦
Theme	主題	Korean	韓国
Theme	主題	Leg Fetish	脚フェチ
Theme	主題	Lesbian	レズ
Theme	主題	Lesbian Kiss	レズキス
Theme	主題	Molester	痴漢
Theme	主題	Nampa	ナンパ
Theme	主題	Nasty, Hardcore	淫乱、ハード系
Theme	主題	Normal	ノーマル
Theme	主題	Nude	全裸
Theme	主題	Other Fetish	その他フェチ
Theme	主題	Peeping	覗き
Theme	主題	Planning	企画
Theme	主題	Prank	イタズラ
Theme	主題	Rape	レイプ
Theme	主題	Reserved Role	逆ナン
Theme	主題	School Stuff	学園もの
Theme	主題	Sexy	セクシー
Theme	主題	Shotacon	ショタ
Theme	主題	Slave	奴隷
Theme	主題	Sport	スポーツ
Theme	主題	Submissive Men	M男
Theme	主題	Sweat	汗だく
Theme	主題	Talent	タレント
Theme	主題	Tentacle	触手
Theme	主題	Time Stop	時間停止
Theme	主題	Topic Work	話題作
Theme	主題	Tsundere	ツンデレ
Theme	主題	Virgin	処女
Theme	主題	Virgin Man	童貞
Theme	主題	Voyeur	盗撮
Theme	主題	Youth	青春
Character	キャラクター	Anchorwoman	女子アナ
Character	キャラクター	Beautiful Girl	美少女
Character	キャラクター	Black Actor	黒人男優
Character	キャラクター	Booth Girl	キャンギャル
Character	キャラクター	Bride, Young Wife	花嫁、若妻
Character	キャラクター	Bus Guide	バスガイド
Character	キャラクター	Childhood Friend	幼なじみ
Character	キャラクター	Companion	コンパニオン
Character	キャラクター	Cosplayers	コスプレイヤー
Character	キャラクター	Daughter	令嬢
Character	キャラクター	Entertainer	芸能人
Character	キャラクター	College Students	女子大生
Character	キャラクター	Female Teacher	女教師
Character	キャラクター	Fighters	格闘家
Character	キャラクター	Freeter	フリーター
Character	キャラクター	Gal	ギャル
Character	キャラクター	Hostesses	キャバ嬢
Character	キャラクター	Idol	アイドル
Character	キャラクター	Instructor	インストラクター
Character	キャラクター	Landlady, Hostess	女将、女主人
Character	キャラクター	Look-alike	そっくりさん
Character	キャラクター	Married Woman	人妻
Character	キャラクター	Miss	お嬢様
Character	キャラクター	Model	モデル
Character	キャラクター	Mother	お母さん
Character	キャラクター	Mother-in-law	義母
Character	キャラクター	Nurse	看護婦
Character	キャラクター	Older Sister	お姉さん
Character	キャラクター	Other Asian	アジア女優
Character	キャラクター	Other Students	その他学生
Character	キャラクター	Princess	お姫様
